,name,Gender,Eye color,Race,Hair color,Height,Publisher,Skin color,Alignment,Weight
698,Violet Parr,Female,violet,Human,Black,137.0,Dark Horse Comics,-,good,41.0
725,X-23,Female,green,Mutant / Clone,Black,155.0,Marvel Comics,-,good,50.0
139,Buffy,Female,green,Human,Blond,157.0,Dark Horse Comics,-,good,52.0
601,Silverclaw,Female,brown,-,Black,157.0,Marvel Comics,-,good,50.0
25,Angel Salvadore,Female,brown,-,Black,163.0,Marvel Comics,-,good,54.0
44,Armor,Female,black,-,Black,163.0,Marvel Comics,-,good,50.0
171,Cheetah,Female,green,Human,Blond,163.0,DC Comics,-,bad,50.0
497,Nova,Female,white,Human / Cosmic,Red,163.0,Marvel Comics,gold,good,59.0
656,Tempest,Female,brown,-,Black,163.0,Marvel Comics,-,good,54.0
710,Wasp,Female,blue,Human,Auburn,163.0,Marvel Comics,-,good,50.0
24,Angel Dust,Female,yellow,Mutant,Black,165.0,Marvel Comics,-,good,57.0
43,Ariel,Female,purple,-,Pink,165.0,Marvel Comics,-,good,59.0
65,Batgirl IV,Female,green,Human,Black,165.0,DC Comics,-,good,52.0
96,Black Canary,Female,blue,Human,Blond,165.0,DC Comics,-,good,58.0
114,Blink,Female,green,Mutant,Magenta,165.0,Marvel Comics,pink,good,56.0
129,Boom-Boom,Female,blue,Mutant,Blond,165.0,Marvel Comics,-,good,55.0
197,Dagger,Female,blue,-,Blond,165.0,Marvel Comics,-,good,52.0
256,Firebird,Female,brown,-,Black,165.0,Marvel Comics,-,good,56.0
313,Hawkeye II,Female,blue,Human,Black,165.0,Marvel Comics,-,good,57.0
370,Jolt,Female,blue,-,Black,165.0,Marvel Comics,-,good,49.0
371,Jubilee,Female,red,Mutant,Black,165.0,Marvel Comics,-,good,52.0
406,Light Lass,Female,blue,-,Red,165.0,DC Comics,-,good,54.0
442,Meltdown,Female,blue,-,Blond,165.0,Marvel Comics,-,good,54.0
544,Raven,Female,indigo,Human,Black,165.0,DC Comics,-,neutral,50.0
612,Songbird,Female,green,-,Red / White,165.0,Marvel Comics,-,good,65.0
621,Spider-Gwen,Female,blue,Human,Blond,165.0,Marvel Comics,-,good,56.0
635,Stargirl,Female,blue,Human,Blond,165.0,DC Comics,-,good,62.0
645,Supergirl,Female,blue,Kryptonian,Blond,165.0,DC Comics,-,good,54.0
695,Vindicator,Female,green,Human,Red,165.0,Marvel Comics,-,good,54.0
720,Wonder Girl,Female,blue,Demi-God,Blond,165.0,DC Comics,-,good,51.0
729,Yellowjacket II,Female,blue,Human,Strawberry Blond,165.0,Marvel Comics,-,good,52.0
51,Atom Girl,Female,black,-,Black,168.0,DC Comics,-,good,54.0
67,Batgirl VI,Female,blue,-,Blond,168.0,DC Comics,-,good,61.0
113,Bling!,Female,-,-,-,168.0,Marvel Comics,-,good,68.0
190,Crystal,Female,green,Inhuman,Red,168.0,Marvel Comics,-,good,50.0
205,Darkstar,Female,brown,Mutant,Blond,168.0,Marvel Comics,-,good,56.0
235,Elastigirl,Female,brown,Human,Brown,168.0,Dark Horse Comics,-,good,56.0
241,Enchantress,Female,blue,Human,Blond,168.0,DC Comics,-,good,57.0
285,Goblin Queen,Female,green,-,Red,168.0,Marvel Comics,-,bad,50.0
329,Hope Summers,Female,green,-,Red,168.0,Marvel Comics,-,good,48.0
343,Invisible Woman,Female,blue,Human / Radiation,Blond,168.0,Marvel Comics,-,good,54.0
355,Jean Grey,Female,green,Mutant,Red,168.0,Marvel Comics,-,good,52.0
357,Jennifer Kale,Female,blue,-,Blond,168.0,Marvel Comics,-,good,55.0
431,Mantis,Female,green,Human-Kree,Black,168.0,Marvel Comics,green,good,52.0
484,Namorita,Female,blue,-,Blond,168.0,Marvel Comics,-,good,101.0
517,Phantom Girl,Female,blue,-,Black,168.0,DC Comics,-,good,54.0
518,Phoenix,Female,green,Mutant,Red,168.0,Marvel Comics,-,good,52.0
522,Plastique,Female,blue,-,Red,168.0,DC Comics,-,bad,55.0
523,Poison Ivy,Female,green,Human,Red,168.0,DC Comics,green,bad,50.0
588,Shadowcat,Female,hazel,Mutant,Brown,168.0,Marvel Comics,-,good,50.0
606,Siryn,Female,blue,-,Strawberry Blond,168.0,Marvel Comics,-,bad,52.0
678,Triplicate Girl,Female,purple,-,Brown,168.0,DC Comics,-,good,59.0
681,Ultragirl,Female,blue,-,Blond,168.0,Marvel Comics,-,good,105.0
684,Vagabond,Female,blue,-,Strawberry Blond,168.0,Marvel Comics,-,good,54.0
693,Vertigo II,Female,blue,-,Silver,168.0,Marvel Comics,-,good,52.0
63,Batgirl,Female,green,Human,Red,170.0,DC Comics,-,good,57.0
97,Black Canary,Female,blue,Metahuman,Blond,170.0,DC Comics,-,good,59.0
103,Black Mamba,Female,green,-,Black,170.0,Marvel Comics,-,bad,52.0
106,Black Widow,Female,green,Human,Auburn,170.0,Marvel Comics,-,good,59.0
107,Black Widow II,Female,blue,-,Blond,170.0,Marvel Comics,-,good,61.0
141,Bumblebee,Female,brown,Human,Black,170.0,DC Comics,-,good,59.0
172,Cheetah II,Female,green,Human,Brown,170.0,DC Comics,-,bad,55.0
308,Harley Quinn,Female,blue,Human,Blond,170.0,DC Comics,-,bad,63.0
318,Hawkwoman III,Female,blue,-,Red,170.0,DC Comics,-,good,65.0
328,Hollow,Female,blue,-,Red,170.0,Marvel Comics,-,good,-99.0
334,Husk,Female,blue,Mutant,Blond,170.0,Marvel Comics,-,good,58.0
360,Jessica Jones,Female,brown,Human,Brown,170.0,Marvel Comics,-,good,56.0
433,Marvel Girl,Female,green,-,Red,170.0,Marvel Comics,-,good,56.0
524,Polaris,Female,green,Mutant,Green,170.0,Marvel Comics,-,good,52.0
573,Sage,Female,blue,-,Black,170.0,Marvel Comics,-,good,61.0
581,Scarlet Witch,Female,blue,Mutant,Brown,170.0,Marvel Comics,-,bad,59.0
620,Spider-Girl,Female,blue,Human,Brown,170.0,Marvel Comics,-,good,54.0
732,Zatanna,Female,blue,Human,Black,170.0,DC Comics,-,good,57.0
8,Agent 13,Female,blue,-,Blond,173.0,Marvel Comics,-,good,61.0
40,Arclight,Female,violet,-,Purple,173.0,Marvel Comics,-,bad,57.0
162,Cat,Female,blue,-,Blond,173.0,Marvel Comics,-,good,61.0
210,Dazzler,Female,blue,Mutant,Blond,173.0,Marvel Comics,-,good,52.0
226,Domino,Female,blue,Human,Black,173.0,Marvel Comics,white,good,54.0
258,Firestar,Female,green,Mutant,Red,173.0,Marvel Comics,-,good,56.0
322,Hellcat,Female,blue,Human,Red,173.0,Marvel Comics,-,good,61.0
477,Ms Marvel II,Female,blue,-,Red,173.0,Marvel Comics,-,good,61.0
569,Rogue,Female,green,-,Brown / White,173.0,Marvel Comics,-,good,54.0
587,Shadow Lass,Female,black,Talokite,Black,173.0,DC Comics,blue,good,54.0
594,Shriek,Female,yellow / blue,-,Black,173.0,Marvel Comics,-,good,52.0
627,Spider-Woman III,Female,brown,-,Brown,173.0,Marvel Comics,-,good,55.0
38,Arachne,Female,blue,Human,Blond,175.0,Marvel Comics,-,good,63.0
145,Callisto,Female,blue,-,Black,175.0,Marvel Comics,-,bad,74.0
164,Catwoman,Female,green,Human,Black,175.0,DC Comics,-,good,61.0
173,Cheetah III,Female,brown,Human,Brown,175.0,DC Comics,-,bad,54.0
228,Donna Troy,Female,blue,Amazon,Black,175.0,DC Comics,-,good,63.0
237,Elektra,Female,blue,Human,Black,175.0,Marvel Comics,-,good,59.0
314,Hawkgirl,Female,green,-,Red,175.0,DC Comics,-,good,61.0
316,Hawkwoman,Female,green,-,Red,175.0,DC Comics,-,good,54.0
400,Lady Deathstrike,Female,brown,Cyborg,Black,175.0,Marvel Comics,-,bad,58.0
444,Mera,Female,blue,Atlantean,Red,175.0,DC Comics,-,good,72.0
462,Mockingbird,Female,blue,Human,Blond,175.0,Marvel Comics,-,good,61.0
604,Siren,Female,blue,Atlantean,Purple,175.0,DC Comics,-,bad,72.0
662,Thor Girl,Female,blue,Asgardian,Blond,175.0,Marvel Comics,-,good,143.0
685,Valerie Hart,Female,hazel,-,Black,175.0,Team Epic TV,-,good,56.0
701,Vixen,Female,amber,Human,Black,175.0,DC Comics,-,good,63.0
72,Batwoman V,Female,green,Human,Red,178.0,DC Comics,-,good,-99.0
98,Black Cat,Female,green,Human,Blond,178.0,Marvel Comics,-,good,54.0
240,Emma Frost,Female,blue,-,Blond,178.0,Marvel Comics,-,good,65.0
294,Granny Goodness,Female,blue,-,White,178.0,DC Comics,-,bad,115.0
455,Miss Martian,Female,red,-,Red,178.0,DC Comics,-,good,61.0
480,Mystique,Female,yellow (without irises),Mutant,Red / Orange,178.0,Marvel Comics,blue,bad,54.0
505,Oracle,Female,blue,Human,Red,178.0,DC Comics,-,good,59.0
609,Snowbird,Female,white,-,Blond,178.0,Marvel Comics,-,good,49.0
625,Spider-Woman,Female,green,Human,Black,178.0,Marvel Comics,-,good,59.0
628,Spider-Woman IV,Female,red,-,White,178.0,Marvel Comics,-,bad,58.0
669,Tigra,Female,green,-,Auburn,178.0,Marvel Comics,-,good,81.0
714,White Queen,Female,blue,-,Blond,178.0,Marvel Comics,-,good,65.0
55,Aurora,Female,blue,Mutant,Black,180.0,Marvel Comics,-,good,63.0
85,Binary,Female,blue,-,Blond,180.0,Marvel Comics,-,good,54.0
155,Captain Marvel,Female,blue,Human-Kree,Blond,180.0,Marvel Comics,-,good,74.0
271,Frigga,Female,blue,-,White,180.0,Marvel Comics,-,good,167.0
333,Huntress,Female,blue,-,Black,180.0,DC Comics,-,good,59.0
439,Maxima,Female,brown,-,Red,180.0,DC Comics,-,bad,72.0
441,Medusa,Female,green,Inhuman,Red,180.0,Marvel Comics,-,good,59.0
471,Moonstone,Female,blue,-,Blond,180.0,Marvel Comics,-,bad,59.0
483,Namora,Female,blue,-,Blond,180.0,Marvel Comics,-,good,85.0
525,Power Girl,Female,blue,Kryptonian,blond,180.0,DC Comics,-,good,81.0
531,Psylocke,Female,blue,Mutant,Purple,180.0,Marvel Comics,-,good,70.0
562,Ripcord,Female,green,-,Black,180.0,Marvel Comics,-,good,72.0
640,Storm,Female,blue,Mutant,White,180.0,Marvel Comics,-,good,57.0
706,Warbird,Female,blue,-,Blond,180.0,Marvel Comics,-,good,54.0
185,Copycat,Female,red,Mutant,White,183.0,Marvel Comics,blue,neutral,67.0
274,Gamora,Female,yellow,Zen-Whoberian,Black,183.0,Marvel Comics,green,good,77.0
592,She-Thing,Female,blue,Human / Radiation,No Hair,183.0,Marvel Comics,-,good,153.0
722,Wonder Woman,Female,blue,Amazon,Black,183.0,DC Comics,-,good,74.0
487,Nebula,Female,blue,Luphomoid,No Hair,185.0,Marvel Comics,blue,bad,83.0
80,Big Barda,Female,blue,New God,Black,188.0,DC Comics,-,bad,135.0
596,Sif,Female,blue,Asgardian,Black,188.0,Marvel Comics,-,good,191.0
686,Valkyrie,Female,blue,-,Blond,191.0,Marvel Comics,-,good,214.0
41,Ardina,Female,white,Alien,Orange,193.0,Marvel Comics,gold,good,98.0
634,Starfire,Female,green,Tamaranean,Auburn,193.0,DC Comics,orange,good,71.0
591,She-Hulk,Female,green,Human,Green,201.0,Marvel Comics,-,good,315.0
270,Frenzy,Female,brown,-,Black,211.0,Marvel Comics,-,bad,104.0
320,Hela,Female,green,Asgardian,Black,213.0,Marvel Comics,-,bad,225.0
119,Bloodaxe,Female,blue,Human,Brown,218.0,Marvel Comics,-,bad,495.0
667,Thundra,Female,green,-,Red,218.0,Marvel Comics,-,good,158.0
557,Rey,Female,hazel,Human,Brown,297.0,George Lucas,-,good,-99.0
718,Wolfsbane,Female,green,-,Auburn,366.0,Marvel Comics,-,good,473.0
283,Giganta,Female,green,-,Red,62.5,DC Comics,-,bad,630.0
