,name,Gender,Eye,Race,Hair color,Height,Publisher,Skin,Alignment,Weight
0,A-Bomb,Male,yellow,Human,No Hair,203.0,Marvel Comics,-,good,441.0
1,Abe Sapien,Male,blue,Icthyo Sapien,No Hair,191.0,Dark Horse Comics,blue,good,65.0
2,Abin Sur,Male,blue,Ungaran,No Hair,185.0,DC Comics,red,good,90.0
3,Abomination,Male,green,Human / Radiation,No Hair,203.0,Marvel Comics,-,bad,441.0
5,Absorbing Man,Male,blue,Human,No Hair,193.0,Marvel Comics,-,bad,122.0
7,Adam Strange,Male,blue,Human,Blond,185.0,DC Comics,-,good,88.0
8,Agent 13,Female,blue,-,Blond,173.0,Marvel Comics,-,good,61.0
9,Agent Bob,Male,brown,Human,Brown,178.0,Marvel Comics,-,good,81.0
10,Agent Zero,Male,-,-,-,191.0,Marvel Comics,-,good,104.0
11,Air-Walker,Male,blue,-,White,188.0,Marvel Comics,-,bad,108.0
12,Ajax,Male,brown,Cyborg,Black,193.0,Marvel Comics,-,bad,90.0
13,Alan Scott,Male,blue,-,Blond,180.0,DC Comics,-,good,90.0
16,Alfred Pennyworth,Male,blue,Human,Black,178.0,DC Comics,-,good,72.0
17,Alien,Male,-,Xenomorph XX121,No Hair,244.0,Dark Horse Comics,black,bad,169.0
19,Amazo,Male,red,Android,-,257.0,DC Comics,-,bad,173.0
20,Ammo,Male,brown,Human,Black,188.0,Marvel Comics,-,bad,101.0
22,Angel,Male,blue,-,Blond,183.0,Marvel Comics,-,good,68.0
24,Angel Dust,Female,yellow,Mutant,Black,165.0,Marvel Comics,-,good,57.0
25,Angel Salvadore,Female,brown,-,Black,163.0,Marvel Comics,-,good,54.0
27,Animal Man,Male,blue,Human,Blond,183.0,DC Comics,-,good,83.0
28,Annihilus,Male,green,-,No Hair,180.0,Marvel Comics,-,bad,90.0
29,Ant-Man,Male,blue,Human,Blond,211.0,Marvel Comics,-,good,122.0
30,Ant-Man II,Male,blue,Human,Blond,183.0,Marvel Comics,-,good,86.0
31,Anti-Monitor,Male,yellow,God / Eternal,No Hair,61.0,DC Comics,-,bad,-99.0
33,Anti-Venom,Male,blue,Symbiote,Blond,229.0,Marvel Comics,-,-,358.0
34,Apocalypse,Male,red,Mutant,Black,213.0,Marvel Comics,grey,bad,135.0
36,Aqualad,Male,blue,Atlantean,Black,178.0,DC Comics,-,good,106.0
37,Aquaman,Male,blue,Atlantean,Blond,185.0,DC Comics,-,good,146.0
38,Arachne,Female,blue,Human,Blond,175.0,Marvel Comics,-,good,63.0
39,Archangel,Male,blue,Mutant,Blond,183.0,Marvel Comics,blue,good,68.0
40,Arclight,Female,violet,-,Purple,173.0,Marvel Comics,-,bad,57.0
41,Ardina,Female,white,Alien,Orange,193.0,Marvel Comics,gold,good,98.0
42,Ares,Male,brown,-,Brown,185.0,Marvel Comics,-,good,270.0
43,Ariel,Female,purple,-,Pink,165.0,Marvel Comics,-,good,59.0
44,Armor,Female,black,-,Black,163.0,Marvel Comics,-,good,50.0
47,Atlas,Male,brown,Mutant,Red,183.0,Marvel Comics,-,good,101.0
48,Atlas,Male,blue,God / Eternal,Brown,198.0,DC Comics,-,bad,126.0
49,Atom,Male,blue,-,Red,178.0,DC Comics,-,good,68.0
51,Atom Girl,Female,black,-,Black,168.0,DC Comics,-,good,54.0
52,Atom II,Male,brown,Human,Auburn,183.0,DC Comics,-,good,81.0
55,Aurora,Female,blue,Mutant,Black,180.0,Marvel Comics,-,good,63.0
56,Azazel,Male,yellow,Neyaphem,Black,183.0,Marvel Comics,red,bad,67.0
59,Bane,Male,-,Human,-,203.0,DC Comics,-,bad,180.0
60,Banshee,Male,green,Human,Strawberry Blond,183.0,Marvel Comics,-,good,77.0
61,Bantam,Male,brown,-,Black,165.0,Marvel Comics,-,good,54.0
63,Batgirl,Female,green,Human,Red,170.0,DC Comics,-,good,57.0
65,Batgirl IV,Female,green,Human,Black,165.0,DC Comics,-,good,52.0
67,Batgirl VI,Female,blue,-,Blond,168.0,DC Comics,-,good,61.0
68,Batman,Male,blue,Human,black,188.0,DC Comics,-,good,95.0
69,Batman,Male,blue,Human,Black,178.0,DC Comics,-,good,77.0
70,Batman II,Male,blue,Human,Black,178.0,DC Comics,-,good,79.0
71,Battlestar,Male,brown,-,Black,198.0,Marvel Comics,-,good,133.0
72,Batwoman V,Female,green,Human,Red,178.0,DC Comics,-,good,-99.0
73,Beak,Male,black,-,White,175.0,Marvel Comics,-,good,63.0
74,Beast,Male,blue,Mutant,Blue,180.0,Marvel Comics,blue,good,181.0
75,Beast Boy,Male,green,Human,Green,173.0,DC Comics,green,good,68.0
78,Beta Ray Bill,Male,-,-,No Hair,201.0,Marvel Comics,-,good,216.0
80,Big Barda,Female,blue,New God,Black,188.0,DC Comics,-,bad,135.0
82,Big Man,Male,blue,-,Brown,165.0,Marvel Comics,-,bad,71.0
85,Binary,Female,blue,-,Blond,180.0,Marvel Comics,-,good,54.0
91,Bishop,Male,brown,Mutant,No Hair,198.0,Marvel Comics,-,good,124.0
92,Bizarro,Male,black,Bizarro,Black,191.0,DC Comics,white,neutral,155.0
94,Black Adam,Male,brown,-,Black,191.0,DC Comics,-,bad,113.0
95,Black Bolt,Male,blue,Inhuman,Black,188.0,Marvel Comics,-,good,95.0
96,Black Canary,Female,blue,Human,Blond,165.0,DC Comics,-,good,58.0
97,Black Canary,Female,blue,Metahuman,Blond,170.0,DC Comics,-,good,59.0
98,Black Cat,Female,green,Human,Blond,178.0,Marvel Comics,-,good,54.0
101,Black Knight III,Male,brown,Human,Brown,183.0,Marvel Comics,-,good,86.0
102,Black Lightning,Male,brown,-,No Hair,185.0,DC Comics,-,good,90.0
103,Black Mamba,Female,green,-,Black,170.0,Marvel Comics,-,bad,52.0
104,Black Manta,Male,black,Human,No Hair,188.0,DC Comics,-,bad,92.0
105,Black Panther,Male,brown,Human,Black,183.0,Marvel Comics,-,good,90.0
106,Black Widow,Female,green,Human,Auburn,170.0,Marvel Comics,-,good,59.0
107,Black Widow II,Female,blue,-,Blond,170.0,Marvel Comics,-,good,61.0
108,Blackout,Male,red,Demon,White,191.0,Marvel Comics,white,bad,104.0
109,Blackwing,Male,blue,-,Black,185.0,Marvel Comics,-,bad,86.0
110,Blackwulf,Male,red,Alien,White,188.0,Marvel Comics,-,-,88.0
111,Blade,Male,brown,Vampire,Black,188.0,Marvel Comics,-,good,97.0
113,Bling!,Female,-,-,-,168.0,Marvel Comics,-,good,68.0
114,Blink,Female,green,Mutant,Magenta,165.0,Marvel Comics,pink,good,56.0
117,Blizzard II,Male,brown,-,Brown,175.0,Marvel Comics,-,bad,77.0
118,Blob,Male,brown,-,Brown,178.0,Marvel Comics,-,bad,230.0
119,Bloodaxe,Female,blue,Human,Brown,218.0,Marvel Comics,-,bad,495.0
121,Bloodwraith,Male,white,-,No Hair,30.5,Marvel Comics,-,bad,-99.0
124,Blue Beetle II,Male,blue,-,Brown,183.0,DC Comics,-,good,86.0
126,Boba Fett,Male,brown,Human / Clone,Black,183.0,George Lucas,-,bad,-99.0
129,Boom-Boom,Female,blue,Mutant,Blond,165.0,Marvel Comics,-,good,55.0
131,Booster Gold,Male,blue,Human,Blond,196.0,DC Comics,-,good,97.0
133,Box III,-,blue,-,Blond,193.0,Marvel Comics,-,good,110.0
135,Brainiac,Male,green,Android,No Hair,198.0,DC Comics,green,bad,135.0
136,Brainiac 5,Male,green,-,Blond,170.0,DC Comics,-,good,61.0
137,Brother Voodoo,Male,brown,Human,Brown / White,183.0,Marvel Comics,-,good,99.0
138,Brundlefly,Male,-,Mutant,-,193.0,,-,-,-99.0
139,Buffy,Female,green,Human,Blond,157.0,Dark Horse Comics,-,good,52.0
140,Bullseye,Male,blue,Human,blond,183.0,Marvel Comics,-,bad,90.0
141,Bumblebee,Female,brown,Human,Black,170.0,DC Comics,-,good,59.0
144,Cable,Male,blue,Mutant,White,203.0,Marvel Comics,-,good,158.0
145,Callisto,Female,blue,-,Black,175.0,Marvel Comics,-,bad,74.0
147,Cannonball,Male,blue,-,Blond,183.0,Marvel Comics,-,good,81.0
148,Captain America,Male,blue,Human,blond,188.0,Marvel Comics,-,good,108.0
149,Captain Atom,Male,blue,Human / Radiation,Silver,193.0,DC Comics,silver,good,90.0
150,Captain Britain,Male,blue,Human,Blond,198.0,Marvel Comics,-,good,116.0
152,Captain Epic,Male,blue,-,Brown,188.0,Team Epic TV,-,good,-99.0
154,Captain Mar-vell,Male,blue,-,Blond,188.0,Marvel Comics,-,good,108.0
155,Captain Marvel,Female,blue,Human-Kree,Blond,180.0,Marvel Comics,-,good,74.0
156,Captain Marvel,Male,blue,Human,Black,193.0,DC Comics,-,good,101.0
157,Captain Marvel II,Male,blue,Human,Black,175.0,DC Comics,-,good,74.0
161,Carnage,Male,green,Symbiote,Red,185.0,Marvel Comics,-,bad,86.0
162,Cat,Female,blue,-,Blond,173.0,Marvel Comics,-,good,61.0
164,Catwoman,Female,green,Human,Black,175.0,DC Comics,-,good,61.0
165,Cecilia Reyes,-,brown,-,Brown,170.0,Marvel Comics,-,good,62.0
166,Century,Male,white,Alien,White,201.0,Marvel Comics,grey,good,97.0
168,Chamber,Male,brown,Mutant,Brown,175.0,Marvel Comics,-,good,63.0
170,Changeling,Male,brown,-,Black,180.0,Marvel Comics,-,bad,81.0
171,Cheetah,Female,green,Human,Blond,163.0,DC Comics,-,bad,50.0
172,Cheetah II,Female,green,Human,Brown,170.0,DC Comics,-,bad,55.0
173,Cheetah III,Female,brown,Human,Brown,175.0,DC Comics,-,bad,54.0
174,Chromos,Male,brown,-,Red / Grey,185.0,Team Epic TV,-,bad,86.0
175,Chuck Norris,Male,-,-,-,178.0,,-,good,-99.0
176,Citizen Steel,Male,green,Human,Red,183.0,DC Comics,-,good,170.0
179,Cloak,Male,brown,-,black,226.0,Marvel Comics,-,good,70.0
180,Clock King,Male,blue,Human,Black,178.0,DC Comics,-,bad,78.0
184,Colossus,Male,silver,Mutant,Black,226.0,Marvel Comics,-,good,225.0
185,Copycat,Female,red,Mutant,White,183.0,Marvel Comics,blue,neutral,67.0
186,Corsair,Male,brown,-,Brown,191.0,Marvel Comics,-,good,79.0
187,Cottonmouth,Male,brown,Human,Black,183.0,Marvel Comics,-,bad,99.0
189,Crimson Dynamo,Male,brown,-,No Hair,180.0,Marvel Comics,-,good,104.0
190,Crystal,Female,green,Inhuman,Red,168.0,Marvel Comics,-,good,50.0
193,Cyborg,Male,brown,Cyborg,Black,198.0,DC Comics,-,good,173.0
195,Cyclops,Male,brown,Mutant,Brown,191.0,Marvel Comics,-,good,88.0
196,Cypher,-,blue,-,Blond,175.0,Marvel Comics,-,good,68.0
197,Dagger,Female,blue,-,Blond,165.0,Marvel Comics,-,good,52.0
200,Daredevil,Male,blue,Human,Red,183.0,Marvel Comics,-,good,90.0
201,Darkhawk,Male,brown,Human,Brown,185.0,Marvel Comics,-,good,81.0
203,Darkseid,Male,red,New God,No Hair,267.0,DC Comics,grey,bad,817.0
205,Darkstar,Female,brown,Mutant,Blond,168.0,Marvel Comics,-,good,56.0
206,Darth Maul,Male,red,Dathomirian Zabrak,-,170.0,George Lucas,red / black,bad,-99.0
207,Darth Vader,Male,yellow,Cyborg,No Hair,198.0,George Lucas,-,bad,135.0
208,Dash,Male,blue,Human,Blond,122.0,Dark Horse Comics,-,good,27.0
210,Dazzler,Female,blue,Mutant,Blond,173.0,Marvel Comics,-,good,52.0
211,Deadman,Male,blue,Human,Black,183.0,DC Comics,-,good,90.0
212,Deadpool,Male,brown,Mutant,No Hair,188.0,Marvel Comics,-,neutral,95.0
213,Deadshot,Male,brown,Human,Brown,185.0,DC Comics,-,bad,91.0
214,Deathlok,Male,brown,Cyborg,Grey,193.0,Marvel Comics,-,good,178.0
215,Deathstroke,Male,blue,Human,White,193.0,DC Comics,-,neutral,101.0
216,Demogoblin,Male,red,Demon,No Hair,185.0,Marvel Comics,-,bad,95.0
217,Destroyer,Male,-,-,-,188.0,Marvel Comics,-,bad,383.0
218,Diamondback,Male,brown,Human,Black,193.0,Marvel Comics,-,bad,90.0
220,Doc Samson,Male,blue,Human / Radiation,Green,198.0,Marvel Comics,-,good,171.0
221,Doctor Doom,Male,brown,Human,Brown,201.0,Marvel Comics,-,bad,187.0
222,Doctor Doom II,Male,brown,-,Brown,201.0,Marvel Comics,-,bad,132.0
223,Doctor Fate,Male,blue,Human,Blond,188.0,DC Comics,-,good,89.0
224,Doctor Octopus,Male,brown,Human,Brown,175.0,Marvel Comics,-,bad,110.0
225,Doctor Strange,Male,grey,Human,Black,188.0,Marvel Comics,-,good,81.0
226,Domino,Female,blue,Human,Black,173.0,Marvel Comics,white,good,54.0
228,Donna Troy,Female,blue,Amazon,Black,175.0,DC Comics,-,good,63.0
229,Doomsday,Male,red,Alien,White,244.0,DC Comics,-,bad,412.0
230,Doppelganger,Male,white,-,No Hair,196.0,Marvel Comics,-,bad,104.0
231,Dormammu,Male,yellow,-,No Hair,185.0,Marvel Comics,-,bad,-99.0
233,Drax the Destroyer,Male,red,Human / Altered,No Hair,193.0,Marvel Comics,green,good,306.0
235,Elastigirl,Female,brown,Human,Brown,168.0,Dark Horse Comics,-,good,56.0
236,Electro,Male,blue,Human,Auburn,180.0,Marvel Comics,-,bad,74.0
237,Elektra,Female,blue,Human,Black,175.0,Marvel Comics,-,good,59.0
239,Elongated Man,Male,blue,-,Red,185.0,DC Comics,-,good,80.0
240,Emma Frost,Female,blue,-,Blond,178.0,Marvel Comics,-,good,65.0
241,Enchantress,Female,blue,Human,Blond,168.0,DC Comics,-,good,57.0
244,Ethan Hunt,Male,brown,Human,Brown,168.0,,-,good,-99.0
245,Etrigan,Male,red,Demon,No Hair,193.0,DC Comics,yellow,neutral,203.0
246,Evil Deadpool,Male,white,Mutant,Red,188.0,Marvel Comics,-,bad,95.0
247,Evilhawk,Male,red,Alien,Black,191.0,Marvel Comics,green,bad,106.0
248,Exodus,Male,blue,Mutant,Black,183.0,Marvel Comics,red,bad,88.0
249,Fabian Cortez,-,blue,-,Brown,196.0,Marvel Comics,-,bad,96.0
250,Falcon,Male,brown,Human,Black,188.0,Marvel Comics,-,good,108.0
253,Feral,-,yellow,-,Orange / White,175.0,Marvel Comics,-,good,50.0
255,Fin Fang Foom,Male,red,Kakarantharaian,No Hair,975.0,Marvel Comics,green,good,18.0
256,Firebird,Female,brown,-,Black,165.0,Marvel Comics,-,good,56.0
257,Firelord,-,white,-,Yellow,193.0,Marvel Comics,-,good,99.0
258,Firestar,Female,green,Mutant,Red,173.0,Marvel Comics,-,good,56.0
260,Firestorm,Male,blue,Human,Auburn,188.0,DC Comics,-,good,91.0
262,Flash,Male,blue,Human,Brown / White,180.0,DC Comics,-,good,81.0
264,Flash II,Male,blue,Human,Blond,183.0,DC Comics,-,good,88.0
265,Flash III,Male,-,Human,-,183.0,DC Comics,-,good,86.0
266,Flash IV,Male,yellow,Human,Auburn,157.0,DC Comics,-,good,52.0
267,Forge,-,brown,-,Black,183.0,Marvel Comics,-,good,81.0
268,Franklin Richards,Male,blue,Mutant,Blond,142.0,Marvel Comics,-,good,45.0
269,Franklin Storm,-,blue,-,Grey,188.0,Marvel Comics,-,good,92.0
270,Frenzy,Female,brown,-,Black,211.0,Marvel Comics,-,bad,104.0
271,Frigga,Female,blue,-,White,180.0,Marvel Comics,-,good,167.0
272,Galactus,Male,black,Cosmic Entity,Black,876.0,Marvel Comics,-,neutral,16.0
273,Gambit,Male,red,Mutant,Brown,185.0,Marvel Comics,-,good,81.0
274,Gamora,Female,yellow,Zen-Whoberian,Black,183.0,Marvel Comics,green,good,77.0
278,Genesis,Male,blue,-,Blond,185.0,Marvel Comics,-,good,86.0
279,Ghost Rider,Male,red,Demon,No Hair,188.0,Marvel Comics,-,good,99.0
283,Giganta,Female,green,-,Red,62.5,DC Comics,-,bad,630.0
284,Gladiator,Male,blue,Strontian,Blue,198.0,Marvel Comics,purple,neutral,268.0
285,Goblin Queen,Female,green,-,Red,168.0,Marvel Comics,-,bad,50.0
286,Godzilla,-,-,Kaiju,-,108.0,,grey,bad,
288,Goku,Male,-,Saiyan,-,175.0,Shueisha,-,good,62.0
292,Goliath IV,Male,brown,-,Black,183.0,Marvel Comics,-,good,90.0
293,Gorilla Grodd,Male,yellow,Gorilla,Black,198.0,DC Comics,-,bad,270.0
294,Granny Goodness,Female,blue,-,White,178.0,DC Comics,-,bad,115.0
295,Gravity,Male,blue,Human,Brown,178.0,Marvel Comics,-,good,79.0
296,Greedo,Male,purple,Rodian,-,170.0,George Lucas,green,bad,-99.0
297,Green Arrow,Male,green,Human,Blond,188.0,DC Comics,-,good,88.0
298,Green Goblin,Male,blue,Human,Auburn,180.0,Marvel Comics,-,bad,83.0
299,Green Goblin II,Male,blue,-,Auburn,178.0,Marvel Comics,-,bad,77.0
300,Green Goblin III,Male,-,-,-,183.0,Marvel Comics,-,good,88.0
301,Green Goblin IV,Male,green,-,Brown,178.0,Marvel Comics,-,good,79.0
302,Groot,Male,yellow,Flora Colossus,-,701.0,Marvel Comics,-,good,4.0
304,Guy Gardner,Male,blue,Human-Vuldarian,Red,188.0,DC Comics,-,good,95.0
305,Hal Jordan,Male,brown,Human,Brown,188.0,DC Comics,-,good,90.0
306,Han Solo,Male,brown,Human,Brown,183.0,George Lucas,-,good,79.0
307,Hancock,Male,brown,Human,Black,188.0,Sony Pictures,-,good,-99.0
308,Harley Quinn,Female,blue,Human,Blond,170.0,DC Comics,-,bad,63.0
310,Havok,Male,blue,Mutant,Blond,183.0,Marvel Comics,-,good,79.0
311,Hawk,Male,red,-,Brown,185.0,DC Comics,-,good,89.0
312,Hawkeye,Male,blue,Human,Blond,191.0,Marvel Comics,-,good,104.0
313,Hawkeye II,Female,blue,Human,Black,165.0,Marvel Comics,-,good,57.0
314,Hawkgirl,Female,green,-,Red,175.0,DC Comics,-,good,61.0
315,Hawkman,Male,blue,-,Brown,185.0,DC Comics,-,good,88.0
316,Hawkwoman,Female,green,-,Red,175.0,DC Comics,-,good,54.0
318,Hawkwoman III,Female,blue,-,Red,170.0,DC Comics,-,good,65.0
319,Heat Wave,Male,blue,Human,No Hair,180.0,DC Comics,-,bad,81.0
320,Hela,Female,green,Asgardian,Black,213.0,Marvel Comics,-,bad,225.0
321,Hellboy,Male,gold,Demon,Black,259.0,Dark Horse Comics,-,good,158.0
322,Hellcat,Female,blue,Human,Red,173.0,Marvel Comics,-,good,61.0
323,Hellstorm,Male,red,-,Red,185.0,Marvel Comics,-,good,81.0
324,Hercules,Male,blue,Demi-God,Brown,196.0,Marvel Comics,-,good,146.0
327,Hobgoblin,Male,blue,-,Grey,180.0,Marvel Comics,-,bad,83.0
328,Hollow,Female,blue,-,Red,170.0,Marvel Comics,-,good,-99.0
329,Hope Summers,Female,green,-,Red,168.0,Marvel Comics,-,good,48.0
330,Howard the Duck,Male,brown,-,Yellow,79.0,Marvel Comics,-,good,18.0
331,Hulk,Male,green,Human / Radiation,Green,244.0,Marvel Comics,green,good,630.0
332,Human Torch,Male,blue,Human / Radiation,Blond,178.0,Marvel Comics,-,good,77.0
333,Huntress,Female,blue,-,Black,180.0,DC Comics,-,good,59.0
334,Husk,Female,blue,Mutant,Blond,170.0,Marvel Comics,-,good,58.0
335,Hybrid,Male,brown,Symbiote,Black,175.0,Marvel Comics,-,good,77.0
336,Hydro-Man,Male,brown,-,Brown,188.0,Marvel Comics,-,bad,119.0
337,Hyperion,Male,blue,Eternal,Red,183.0,Marvel Comics,-,good,207.0
338,Iceman,Male,brown,Mutant,Brown,173.0,Marvel Comics,-,good,65.0
339,Impulse,Male,yellow,Human,Auburn,170.0,DC Comics,-,good,65.0
340,Indiana Jones,Male,-,Human,-,183.0,George Lucas,-,good,79.0
342,Ink,Male,blue,Mutant,No Hair,180.0,Marvel Comics,-,good,81.0
343,Invisible Woman,Female,blue,Human / Radiation,Blond,168.0,Marvel Comics,-,good,54.0
344,Iron Fist,Male,blue,Human,Blond,180.0,Marvel Comics,-,good,79.0
345,Iron Man,Male,blue,Human,Black,198.0,Marvel Comics,-,good,191.0
349,Jack of Hearts,Male,blue,Human,Brown,155.0,Marvel Comics,-,good,79.0
350,Jack-Jack,Male,blue,Human,Brown,71.0,Dark Horse Comics,-,good,14.0
351,James Bond,Male,blue,Human,Blond,183.0,Titan Books,-,good,-99.0
352,James T. Kirk,Male,hazel,Human,Brown,178.0,Star Trek,-,good,77.0
353,Jar Jar Binks,Male,yellow,Gungan,-,193.0,George Lucas,orange / white,good,-99.0
355,Jean Grey,Female,green,Mutant,Red,168.0,Marvel Comics,-,good,52.0
357,Jennifer Kale,Female,blue,-,Blond,168.0,Marvel Comics,-,good,55.0
360,Jessica Jones,Female,brown,Human,Brown,170.0,Marvel Comics,-,good,56.0
362,Jigsaw,Male,blue,-,Black,188.0,Marvel Comics,-,bad,113.0
366,John Constantine,Male,blue,Human,Blond,183.0,DC Comics,-,good,-99.0
367,John Stewart,Male,green,Human,Black,185.0,DC Comics,-,good,90.0
368,John Wraith,Male,brown,-,Black,183.0,Marvel Comics,-,good,88.0
