,Age,EmploymentType,GraduateOr0t,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,TravelInsurance
0,31,0,1,400000,6,1,0,0,0
1,31,1,1,1250000,7,0,0,0,0
2,34,1,1,500000,4,1,0,0,1
3,28,1,1,700000,3,1,0,0,0
4,28,1,1,700000,8,1,1,0,0
5,25,1,0,1150000,4,0,0,0,0
6,31,0,1,1300000,4,0,0,0,0
7,31,1,1,1350000,3,0,1,1,1
8,28,1,1,1450000,6,1,1,1,1
9,33,0,1,800000,3,0,1,0,0
10,31,0,1,400000,9,1,0,0,0
11,26,1,1,1400000,5,0,1,1,1
12,32,0,1,850000,6,0,0,0,1
13,31,0,1,1500000,6,0,1,1,1
14,31,0,1,400000,3,0,0,0,0
15,34,1,1,700000,7,0,0,0,0
16,28,1,1,1150000,4,1,0,0,0
17,28,1,1,800000,7,0,0,0,1
18,29,1,1,1050000,5,1,0,0,1
19,34,1,1,1500000,2,0,1,1,1
20,28,1,1,1150000,6,0,1,0,0
21,29,1,1,350000,3,0,0,0,1
22,31,1,1,1100000,4,0,0,0,0
23,28,0,1,600000,9,0,0,0,1
24,31,0,1,1500000,7,0,1,1,0
25,35,1,0,800000,4,0,0,1,0
26,34,1,0,1300000,6,0,1,0,1
27,28,1,1,1250000,2,0,1,0,0
28,26,1,1,600000,4,0,1,0,0
29,31,1,1,900000,3,0,0,0,0
30,30,1,0,550000,6,0,1,1,0
31,31,0,0,300000,4,0,0,0,0
32,25,0,1,750000,4,0,0,0,1
33,32,0,1,850000,3,0,0,0,0
34,28,1,1,800000,9,0,0,0,1
35,33,1,1,1400000,4,0,1,1,0
36,31,0,0,300000,9,1,0,0,0
37,34,1,1,700000,4,0,0,0,0
38,34,0,1,1100000,2,0,0,0,0
39,33,1,1,1500000,5,1,1,1,1
40,25,1,1,1400000,3,1,1,1,1
41,33,1,1,550000,5,0,0,0,0
42,26,1,1,1500000,2,1,1,1,1
43,28,1,1,1200000,4,0,1,0,1
44,25,1,1,1400000,7,0,0,1,1
45,34,1,0,1400000,5,1,0,1,1
46,25,1,1,1400000,4,0,0,1,1
47,35,0,1,1100000,5,0,0,0,0
48,28,1,1,600000,3,0,0,0,0
49,31,1,1,1350000,3,0,0,1,1
50,31,1,1,1250000,3,1,0,0,0
51,29,1,1,1050000,3,0,0,0,0
52,31,1,1,1250000,4,0,0,1,0
53,28,0,1,300000,2,0,0,0,0
54,29,1,1,1200000,7,0,0,0,0
55,26,1,1,750000,5,0,0,0,0
56,28,1,1,550000,3,0,0,0,1
57,34,1,1,1000000,6,0,0,0,1
58,33,1,1,1400000,6,0,1,1,1
59,33,1,1,1400000,9,0,1,1,1
60,31,1,1,1250000,4,0,1,1,0
61,32,0,1,800000,3,0,1,0,1
62,28,1,1,800000,4,0,1,0,0
63,27,0,1,500000,2,0,0,0,0
64,30,1,0,1450000,9,0,1,1,1
65,26,1,1,600000,5,1,0,0,0
66,30,1,0,800000,6,0,1,0,0
67,34,1,1,1500000,3,0,1,1,1
68,29,1,1,350000,4,0,0,0,0
69,31,0,0,300000,4,0,0,0,0
70,34,0,1,1300000,4,0,0,0,0
71,28,1,1,750000,6,0,1,0,0
72,28,1,1,800000,6,1,1,0,0
73,28,1,1,750000,7,0,1,0,0
74,28,1,1,700000,4,1,0,0,0
75,34,1,1,1300000,5,0,0,0,0
76,29,1,1,1200000,3,0,0,0,1
77,31,0,0,400000,4,0,0,0,0
78,31,0,1,1300000,3,0,0,1,1
79,31,0,0,400000,5,1,0,0,0
80,26,1,1,1300000,4,1,0,0,0
81,25,1,0,1150000,8,0,0,0,0
82,28,1,1,1250000,4,1,0,0,0
83,34,1,0,950000,4,0,1,0,1
84,32,0,1,350000,6,1,0,0,0
85,25,1,0,1700000,4,0,1,0,1
86,32,0,1,900000,4,0,0,0,0
87,28,0,1,300000,6,0,0,0,0
88,34,1,1,1050000,5,1,0,0,0
89,28,0,1,300000,8,0,0,0,0
90,27,0,1,1050000,3,0,0,0,0
91,28,0,1,300000,4,1,0,0,0
92,28,1,1,1150000,5,0,0,0,0
93,33,0,1,700000,7,0,1,0,1
94,34,1,1,1300000,4,0,0,0,0
95,26,1,1,1400000,5,0,0,1,1
96,28,1,1,700000,4,0,0,0,0
97,29,1,1,350000,7,0,0,0,0
98,29,1,1,1100000,6,0,0,0,0
99,29,0,1,600000,3,0,0,0,0
100,28,1,1,1300000,6,1,0,0,1
101,33,1,1,1500000,3,1,1,1,1
102,29,1,1,500000,3,1,0,0,0
103,26,1,1,1400000,5,0,0,1,1
104,28,1,1,1150000,3,0,0,0,0
105,28,1,1,750000,3,0,0,0,0
106,34,1,1,1300000,3,0,0,0,0
107,34,1,1,850000,3,1,0,1,0
108,26,1,1,1300000,4,0,0,0,1
109,25,1,1,1700000,3,0,1,0,1
110,31,0,1,400000,5,0,0,0,0
111,28,1,1,800000,5,0,0,0,0
112,30,1,0,800000,4,0,0,0,0
113,29,1,1,900000,4,0,1,0,0
114,29,1,1,500000,5,0,0,0,0
115,29,1,1,900000,4,0,0,0,0
116,28,1,1,1150000,5,0,0,0,1
117,31,0,1,400000,5,0,0,0,0
118,31,0,1,1500000,4,1,1,1,1
119,31,1,1,500000,4,0,0,0,0
120,28,1,1,800000,3,1,0,0,0
121,26,1,1,1400000,6,0,0,1,1
122,32,0,1,800000,6,1,0,0,0
123,27,0,1,850000,3,0,0,0,0
124,32,0,1,350000,4,1,0,0,0
125,29,1,1,500000,3,1,0,0,1
126,32,0,1,800000,5,0,1,0,0
127,27,0,1,750000,5,0,0,0,0
128,31,1,1,1350000,8,0,0,1,1
129,29,1,1,1050000,6,0,0,0,0
130,28,1,1,800000,4,0,0,0,0
131,28,1,1,750000,4,0,0,0,0
132,28,1,1,1100000,4,0,0,0,0
133,25,1,1,1750000,4,0,0,1,1
134,28,1,1,600000,5,0,1,0,0
135,28,1,1,800000,6,0,0,1,1
136,29,1,1,500000,6,0,0,0,1
137,29,1,1,600000,4,1,1,0,0
138,28,1,1,1150000,4,0,0,0,0
139,35,1,0,800000,7,1,0,0,1
140,28,1,1,550000,4,1,0,0,0
141,25,1,1,1400000,3,0,0,1,0
142,32,0,1,350000,9,1,0,0,0
143,26,1,1,1300000,4,0,0,0,0
144,31,1,1,1250000,4,0,0,0,0
145,28,1,1,1150000,6,0,0,0,0
146,30,1,0,750000,3,1,0,0,1
147,31,0,0,400000,4,1,0,0,0
148,25,1,1,1400000,4,0,0,1,1
149,28,1,1,800000,5,1,0,0,0
150,28,1,1,650000,2,1,0,0,1
151,29,1,1,1200000,7,0,0,0,1
152,28,1,1,1200000,5,0,1,0,0
153,25,1,0,600000,5,0,1,0,0
154,28,1,1,700000,4,0,1,0,0
155,34,1,1,1300000,6,0,0,0,1
156,28,1,1,900000,4,0,1,0,0
157,28,1,1,600000,3,1,0,0,0
158,31,1,1,1250000,6,0,1,0,1
159,27,0,1,900000,7,1,0,0,0
160,31,0,1,1200000,5,1,0,0,1
161,34,1,0,1400000,3,1,0,1,1
162,34,1,1,500000,7,0,0,0,1
163,32,0,1,350000,5,0,0,0,0
164,28,0,1,300000,6,0,0,0,0
165,33,0,1,1000000,4,0,0,0,0
166,28,1,1,800000,7,0,0,0,0
167,31,0,1,400000,3,0,0,0,0
168,27,0,1,850000,7,1,0,0,0
169,25,1,0,600000,6,0,0,0,0
170,31,1,1,1350000,6,1,0,1,1
171,28,1,1,900000,7,0,0,0,0
172,27,1,0,600000,8,0,0,0,0
173,26,1,1,450000,5,1,0,0,1
174,34,1,1,700000,6,0,1,0,1
175,30,1,0,800000,3,0,0,0,0
176,34,1,1,1050000,6,0,0,0,1
177,28,1,1,1250000,5,0,0,0,0
178,32,0,1,350000,6,0,0,0,0
179,26,1,1,1250000,4,0,0,0,0
180,28,1,1,750000,6,0,1,0,0
181,26,1,1,1300000,3,0,0,0,0
182,35,1,0,800000,3,0,1,0,1
183,25,1,0,1700000,3,1,1,0,0
184,25,0,1,750000,3,0,0,0,0
185,28,0,1,300000,4,0,0,0,1
186,28,1,1,500000,9,0,0,0,1
187,28,1,1,650000,9,0,0,0,0
188,26,0,1,500000,4,0,0,0,0
189,26,1,1,1400000,7,1,0,1,1
190,27,0,1,900000,5,0,0,0,0
191,30,1,0,650000,3,0,0,1,0
192,28,1,1,800000,4,1,0,1,0
193,34,1,0,1300000,5,1,0,0,0
194,33,0,1,1100000,5,0,0,0,0
195,25,1,1,1400000,5,0,1,1,1
196,34,1,1,1000000,7,0,0,0,1
197,29,1,1,1150000,5,1,1,0,0
198,25,1,0,1350000,4,0,0,1,1
199,30,1,0,1450000,5,0,1,1,1
200,27,0,1,1050000,4,0,0,0,1
201,31,1,1,1400000,2,0,0,1,1
202,28,1,1,600000,7,0,0,0,1
203,28,1,1,1100000,4,1,0,0,0
204,32,0,1,900000,4,0,1,0,0
205,29,1,1,1150000,4,1,0,1,0
206,25,1,0,1150000,5,1,0,0,1
207,31,0,0,350000,3,0,0,0,0
208,29,1,1,1350000,4,0,0,1,1
209,25,1,0,1700000,3,1,1,0,0
210,28,1,1,1200000,5,1,1,0,0
211,27,1,0,450000,5,0,0,0,0
212,28,1,1,750000,5,1,0,0,0
213,26,1,1,1400000,5,0,1,1,1
214,27,0,1,850000,5,1,0,1,0
215,33,0,1,1100000,5,0,0,0,0
216,34,1,1,1050000,8,0,0,0,1
217,28,1,1,800000,6,0,0,0,0
218,26,1,1,1500000,7,0,1,1,0
219,31,1,1,1250000,9,1,0,0,0
220,35,1,0,800000,2,0,0,0,0
221,28,1,1,1200000,6,1,0,0,0
222,28,1,1,1200000,3,0,0,0,0
223,30,1,0,650000,3,0,0,0,0
224,31,1,1,1100000,5,0,1,0,0
225,31,1,1,1250000,2,0,0,0,0
226,34,0,1,1300000,9,1,0,0,1
227,34,1,1,1300000,6,1,0,0,0
228,34,1,1,1000000,5,0,0,0,0
229,34,1,1,1000000,2,0,0,0,0
230,29,1,1,900000,7,0,1,0,0
231,31,0,1,1200000,5,1,0,0,0
232,28,1,1,1250000,6,0,0,0,0
233,31,0,1,1200000,6,1,0,0,0
234,34,1,1,1300000,4,0,0,0,0
235,30,1,0,550000,4,0,0,0,0
236,26,1,1,1500000,5,0,1,1,1
237,30,1,0,500000,8,0,0,0,0
238,29,1,1,600000,3,1,0,0,0
239,26,1,1,1250000,5,0,0,0,0
240,27,1,0,350000,7,0,0,0,0
241,35,1,0,800000,6,0,0,0,1
242,33,0,1,400000,4,0,0,0,0
243,26,1,1,750000,6,0,0,0,0
244,27,0,1,500000,4,0,0,0,0
245,28,1,1,1150000,3,0,0,0,0
246,31,0,0,350000,6,1,0,0,0
247,27,0,1,1050000,3,0,1,0,1
248,34,0,1,1300000,6,0,0,0,1
249,28,1,1,1150000,5,0,0,0,0
250,34,1,1,1000000,6,1,0,0,1
251,28,0,1,300000,5,0,0,0,0
252,29,1,1,1350000,5,1,0,1,1
253,28,1,1,1400000,2,0,0,1,1
254,28,0,1,1200000,5,0,0,0,0
255,34,1,1,1500000,5,0,1,1,1
256,34,0,1,1300000,7,1,0,1,1
257,33,1,1,550000,5,0,0,0,1
258,29,1,1,900000,7,0,1,0,0
259,33,0,1,400000,3,1,0,0,1
260,26,1,1,1400000,3,1,0,1,1
261,28,1,1,1100000,4,1,0,0,1
262,26,1,1,750000,4,1,0,0,0
263,35,1,0,800000,4,0,0,0,0
264,29,1,1,350000,9,1,0,0,0
265,27,0,1,850000,6,0,1,0,0
266,31,0,1,400000,5,0,0,0,0
267,33,0,1,1100000,4,0,0,0,1
268,34,1,1,500000,6,0,0,0,1
269,27,1,0,800000,5,0,0,0,0
270,34,0,1,1300000,6,0,0,1,1
271,35,0,1,900000,3,1,0,0,0
272,28,1,1,700000,3,1,0,0,0
273,34,1,1,1000000,6,0,1,0,1
274,32,0,1,850000,7,0,0,0,1
275,26,1,1,1400000,4,1,0,1,1
276,29,1,1,1050000,6,0,0,0,0
277,31,1,1,950000,7,0,1,0,0
278,32,0,1,800000,5,1,0,0,1
279,32,0,1,350000,6,0,0,0,0
280,32,0,1,800000,6,0,1,0,0
281,26,1,1,750000,6,0,0,0,0
282,26,1,1,1400000,4,0,0,1,1
283,26,1,1,600000,4,0,1,0,0
284,28,1,1,750000,3,0,0,0,1
285,33,1,1,750000,4,0,0,0,0
286,28,1,1,600000,3,0,0,0,0
287,29,1,1,1200000,4,0,0,0,0
288,29,1,1,1100000,4,0,0,0,0
289,26,1,1,500000,3,0,0,0,0
290,32,0,1,900000,6,1,0,0,0
291,34,1,1,1300000,3,0,1,0,0
292,27,0,1,850000,4,0,0,0,0
293,31,1,1,1250000,3,0,0,0,1
294,29,1,1,1200000,4,0,0,0,0
295,28,1,1,550000,5,0,0,0,0
296,32,0,1,350000,7,0,0,0,0
297,35,1,0,800000,7,1,0,0,1
298,25,1,0,1700000,4,0,1,0,1
299,27,1,0,450000,3,0,0,0,0
300,32,0,1,900000,5,1,0,0,1
301,27,0,1,850000,4,1,0,0,0
302,34,1,1,700000,6,0,0,0,1
303,31,0,0,300000,3,0,0,0,0
304,34,1,1,1050000,3,0,0,0,0
305,26,1,1,1250000,4,1,0,1,0
306,33,0,1,650000,5,1,0,0,1
307,28,1,1,1150000,8,1,0,0,0
308,34,1,1,1000000,9,1,0,0,0
309,33,0,1,650000,4,0,0,0,1
310,30,1,0,550000,8,0,0,0,0
311,34,1,1,1500000,7,0,1,1,1
312,32,0,1,850000,7,0,0,0,0
313,25,1,0,1150000,4,0,0,0,1
314,26,1,1,1400000,5,0,0,1,1
315,28,0,1,300000,4,0,0,0,0
316,31,1,1,950000,5,1,0,0,0
317,32,0,1,800000,6,0,0,0,1
318,34,0,1,1100000,3,0,0,0,1
319,25,1,1,1700000,2,1,1,0,1
320,35,1,0,800000,5,0,0,0,0
321,28,1,1,500000,3,0,0,0,0
322,28,1,1,750000,3,0,0,0,0
323,33,1,1,1400000,5,0,0,1,1
324,28,0,1,300000,5,0,0,0,0
325,31,1,1,1250000,4,0,0,0,0
326,28,1,1,1150000,5,0,0,0,0
327,34,0,1,1300000,3,0,0,0,0
328,34,1,1,700000,6,0,1,1,1
329,28,1,1,1100000,8,0,0,0,0
330,35,1,0,800000,4,0,0,0,0
331,33,1,1,550000,4,0,0,0,1
332,31,1,1,1650000,7,1,1,0,1
333,31,1,1,1400000,6,1,0,1,0
334,29,1,1,1050000,3,0,0,0,1
335,28,1,1,800000,2,0,0,0,1
336,32,0,1,350000,9,1,0,0,0
337,30,1,0,550000,7,0,1,0,0
338,28,1,1,600000,3,0,0,0,0
339,29,1,1,1050000,5,0,0,0,0
340,27,1,0,800000,7,1,0,0,0
341,28,1,1,550000,7,0,0,0,0
342,28,1,1,1100000,2,0,0,0,1
343,28,1,1,1250000,7,0,0,0,0
344,32,0,1,800000,4,0,1,1,0
345,29,1,1,1200000,5,0,0,1,0
346,25,1,1,1800000,7,1,1,0,1
347,34,1,1,1300000,6,0,1,0,0
348,31,1,1,1400000,6,1,0,1,0
349,28,1,1,500000,3,0,0,0,0
350,31,1,1,950000,5,0,1,1,0
351,29,1,1,1200000,9,1,1,0,0
352,31,1,1,1350000,6,0,0,1,1
353,31,0,0,300000,3,0,0,0,0
354,25,1,0,1150000,5,0,0,0,1
355,28,1,1,1400000,3,0,0,1,1
356,34,1,1,1000000,4,0,0,0,0
357,34,1,1,500000,5,0,0,0,0
358,34,1,1,1000000,5,0,1,0,0
359,25,1,0,1150000,3,0,0,0,0
360,28,1,0,550000,4,0,0,0,0
361,29,1,1,1350000,4,0,0,1,1
362,28,1,1,700000,2,1,0,0,0
363,34,0,1,1300000,4,0,0,0,0
364,31,0,1,1200000,6,0,0,0,0
365,25,1,0,1700000,3,0,1,0,1
366,28,0,1,300000,3,0,0,0,0
367,31,0,1,1300000,4,0,0,0,0
368,35,1,0,800000,3,0,0,0,1
369,32,0,1,800000,7,1,0,0,0
370,31,0,1,1300000,6,0,0,0,1
371,27,0,1,900000,5,1,0,1,0
372,29,1,1,350000,5,1,0,0,0
373,28,1,1,900000,5,0,1,0,0
374,28,0,1,600000,7,0,0,0,0
375,28,1,1,1100000,6,1,0,0,0
376,31,0,1,1300000,4,0,0,0,0
377,27,1,0,1550000,4,0,1,0,1
378,25,1,1,1700000,5,0,1,0,1
379,27,1,0,1550000,6,0,1,0,1
380,28,1,1,1200000,5,1,0,0,0
381,29,1,1,1200000,5,0,0,0,0
382,31,1,1,1400000,6,0,0,1,1
383,29,1,1,1100000,4,0,0,0,0
384,33,0,1,600000,3,0,0,1,0
385,34,1,1,1000000,5,0,0,0,0
386,28,1,1,1350000,5,0,0,1,1
387,28,0,1,300000,5,0,0,0,0
388,28,1,1,550000,5,0,0,0,0
389,31,1,1,1350000,5,0,0,1,1
390,33,1,1,550000,5,0,0,0,1
391,28,0,1,1200000,5,0,0,0,1
392,31,1,1,950000,4,1,0,0,1
393,29,1,1,1050000,3,0,1,0,0
394,28,1,1,1200000,4,0,0,0,1
395,32,0,1,800000,5,0,0,0,0
396,33,0,1,650000,6,1,0,0,1
397,25,0,1,750000,5,0,0,0,0
398,28,1,1,1250000,5,0,1,0,0
399,35,1,0,800000,5,0,0,0,0
400,29,1,1,1200000,4,0,1,0,0
401,34,1,1,700000,4,0,0,0,0
402,31,1,1,1250000,3,0,0,0,0
403,28,1,1,800000,8,1,0,0,0
404,33,0,1,650000,5,1,0,0,1
405,32,0,1,850000,6,0,0,0,0
406,28,1,1,1200000,9,0,0,0,1
407,25,1,0,1700000,6,0,1,0,1
408,31,0,0,350000,2,0,0,0,0
409,28,1,1,700000,5,0,0,0,0
410,28,1,0,550000,4,0,0,0,0
411,28,0,1,600000,6,0,0,0,0
412,28,0,1,300000,7,1,0,0,0
413,25,1,1,1700000,5,0,1,0,1
414,33,1,1,1400000,4,0,0,1,1
415,28,0,1,600000,5,0,0,0,0
416,31,1,1,1400000,7,0,0,1,1
417,31,1,1,1400000,3,0,1,1,1
418,34,1,1,1000000,3,1,0,0,0
419,25,1,0,1150000,4,0,0,0,0
420,34,1,1,1050000,5,0,0,0,0
421,28,0,1,300000,4,0,0,0,0
422,34,1,1,1500000,7,1,1,1,1
423,25,1,1,1400000,5,0,0,1,1
424,29,1,1,1100000,7,1,1,0,1
425,29,1,1,350000,5,1,0,0,0
426,25,1,1,500000,5,0,0,0,0
427,25,1,1,1400000,7,0,1,1,1
428,28,1,1,700000,5,1,0,0,0
429,32,0,1,350000,2,0,0,0,0
430,26,1,1,1300000,7,0,0,0,1
431,28,1,1,500000,6,0,0,0,0
432,34,1,1,500000,5,0,0,0,0
433,28,1,1,1100000,4,0,0,0,0
434,34,1,1,1300000,7,0,0,0,1
435,34,1,1,1500000,4,1,1,1,1
436,28,1,1,1200000,4,1,0,1,0
437,27,1,0,800000,7,0,0,0,0
438,33,0,1,400000,5,1,0,0,0
439,28,1,1,800000,3,0,0,0,0
440,34,1,1,1000000,4,0,0,0,1
441,34,1,1,850000,5,0,0,0,1
442,29,1,1,1100000,9,0,0,0,0
443,25,1,0,1150000,6,0,0,0,1
444,28,1,1,700000,4,1,0,0,1
445,27,0,1,1050000,6,1,0,0,0
446,28,1,1,700000,2,0,0,0,0
447,29,1,1,500000,3,0,0,0,0
448,33,1,1,1500000,4,1,1,1,1
449,31,1,1,500000,3,1,0,0,1
450,31,1,1,1250000,6,0,0,1,0
451,28,1,1,800000,4,0,0,0,0
452,34,1,1,1300000,4,1,0,0,1
453,31,1,1,1100000,3,0,0,0,0
454,28,0,1,300000,4,0,0,0,0
455,35,0,1,1100000,4,0,0,0,0
456,26,1,1,1500000,5,1,1,1,1
457,25,1,0,1150000,4,0,0,0,0
458,26,1,1,750000,3,1,0,0,0
459,34,1,1,1500000,5,0,1,1,1
460,25,1,0,1350000,6,0,0,1,1
461,35,0,1,900000,4,1,0,0,1
462,26,1,1,1250000,6,1,0,0,0
463,33,1,1,750000,2,1,0,0,0
464,34,1,1,1500000,5,0,1,1,1
465,26,1,1,1500000,5,0,1,1,1
466,28,1,1,550000,4,0,0,0,0
467,26,0,1,500000,5,0,0,0,0
468,28,1,1,1200000,5,0,0,0,0
469,25,1,0,1700000,5,0,1,0,1
470,28,1,1,1300000,2,1,0,0,0
471,26,1,1,1250000,3,0,0,0,0
472,28,0,1,300000,5,0,0,0,0
473,25,1,1,1400000,8,0,0,1,1
474,31,1,1,1100000,3,1,1,0,0
475,34,1,1,1000000,4,0,0,0,1
476,33,1,1,1400000,4,1,0,1,1
477,34,1,1,1500000,6,1,1,1,1
478,29,1,1,900000,4,0,0,0,0
479,34,0,1,1300000,4,1,0,0,0
480,34,1,1,1050000,7,0,1,0,1
481,29,1,1,1100000,4,0,0,0,0
482,32,0,1,850000,9,0,0,0,0
483,28,1,1,1150000,4,0,0,0,0
484,33,0,1,800000,6,0,0,0,1
485,27,1,0,450000,4,0,0,0,0
486,33,1,1,550000,4,0,1,0,0
487,34,1,1,850000,4,0,0,0,1
488,28,0,1,300000,3,0,0,0,0
489,30,1,0,800000,9,0,0,0,0
490,29,1,1,1200000,5,1,0,0,0
491,28,1,1,1100000,4,1,0,0,1
492,34,1,1,500000,3,0,0,0,0
493,29,1,1,1050000,7,0,0,0,0
494,34,0,1,1300000,5,1,0,1,0
495,31,0,1,1200000,4,0,0,0,0
496,26,1,1,600000,7,0,0,0,0
497,28,1,1,1200000,5,0,1,0,1
498,29,1,1,600000,5,0,0,0,0
499,32,0,1,350000,6,0,0,0,0
500,26,1,1,1500000,4,0,1,1,1
501,31,1,1,1250000,3,0,0,0,0
502,28,0,1,300000,4,1,0,0,1
503,31,0,1,1300000,5,0,0,0,0
